model_disease_name,extracted_disease_part,severity,treatment
Tomato___Spider_mites Two-spotted_spider_mite,spider mites two-spotted spider mite,Moderate,Trim lower leaves and maintain dry soil surface. - Use appropriate fungicide weekly.
Tomato___Spider_mites Two-spotted_spider_mite,spider mites two-spotted spider mite,Severe,Trim lower leaves and maintain dry soil surface. - Remove infected parts and apply strong fungicides.
Tomato___Target_Spot,target spot,Mild,Use compost tea and improve air circulation. - Monitor and apply organic solutions.
Tomato___Target_Spot,target spot,Moderate,Use compost tea and improve air circulation. - Use appropriate fungicide weekly.
Tomato___Target_Spot,target spot,Severe,Use compost tea and improve air circulation. - Remove infected parts and apply strong fungicides.
Tomato___Tomato_Yellow_Leaf_Curl_Virus,tomato yellow leaf curl virus,Mild,Remove affected leaves and monitor closely. - Monitor and apply organic solutions.
Tomato___Tomato_Yellow_Leaf_Curl_Virus,tomato yellow leaf curl virus,Moderate,Remove affected leaves and monitor closely. - Use appropriate fungicide weekly.
Tomato___Tomato_Yellow_Leaf_Curl_Virus,tomato yellow leaf curl virus,Severe,Remove affected leaves and monitor closely. - Remove infected parts and apply strong fungicides.
Tomato___Tomato_mosaic_virus,tomato mosaic virus,Mild,Remove affected leaves and monitor closely. - Monitor and apply organic solutions.
Tomato___Tomato_mosaic_virus,tomato mosaic virus,Moderate,Remove affected leaves and monitor closely. - Use appropriate fungicide weekly.
Tomato___Tomato_mosaic_virus,tomato mosaic virus,Severe,Remove affected leaves and monitor closely. - Remove infected parts and apply strong fungicides.
Apple___healthy,healthy,Mild,No treatment needed.
Blueberry___healthy,healthy,Mild,No treatment needed.
Cherry_(including_sour)___healthy,healthy,Mild,No treatment needed.
Corn_(maize)___healthy,healthy,Mild,No treatment needed.
Grape___healthy,healthy,Mild,No treatment needed.
Peach___healthy,healthy,Mild,No treatment needed.
"Pepper,_bell___healthy",healthy,Mild,No treatment needed.
Potato___healthy,healthy,Mild,No treatment needed.
Raspberry___healthy,healthy,Mild,No treatment needed.
Soybean___healthy,healthy,Mild,No treatment needed.
Strawberry___healthy,healthy,Mild,No treatment needed.
Tomato___healthy,healthy,Mild,No treatment needed.
